X,dXdt,Phi,Temp_K,,,,
4.60E-04,2.4579772E+01,10.000000 ,591.036231,,,,
4.91E-04,2.6600020E+01,10.000000 ,590.836232,,,,
5.24E-04,2.8580638E+01,10.000000 ,590.636233,,,,
5.59E-04,3.0458459E+01,10.000000 ,590.436232,,,,
5.97E-04,3.2232213E+01,10.000000 ,590.236232,,,,
6.79E-04,3.5878925E+01,10.000000 ,589.836231,,,,
7.23E-04,3.7895329E+01,10.000000 ,589.636232,,,,
7.70E-04,3.9975783E+01,10.000000 ,589.436233,,,,
8.19E-04,4.2029306E+01,10.000000 ,589.236234,,,,
8.71E-04,4.4160163E+01,10.000000 ,589.036236,,,,
9.82E-04,4.8379049E+01,10.000000 ,588.63624,,,,
0.00104107,5.0688886E+01,10.000000 ,588.436243,,,,
0.00110326,5.2985909E+01,10.000000 ,588.246247,,,,
0.00116823,5.5302453E+01,10.000000 ,588.03625,,,,
0.00123611,5.7854525E+01,10.000000 ,587.836255,,,,
0.00138144,6.3352617E+01,10.000000 ,587.436268,,,,
