X,dXdt,Phi,Temp_K,,,,
0.98717403,1.3766300E+02,5.000000 ,555.401783,,,,
0.98741968,1.3523499E+02,5.000000 ,555.251772,,,,
0.98766081,1.3276689E+02,5.000000 ,555.101761,,,,
0.98789752,1.3029287E+02,5.000000 ,554.95175,,,,
0.98812952,1.2745107E+02,5.000000 ,554.811738,,,,
0.98835627,1.2444427E+02,5.000000 ,554.661725,,,,
0.98857684,1.2032974E+02,5.000000 ,554.511711,,,,
0.9887895,1.1570608E+02,5.000000 ,554.361694,,,,
0.98899296,1.1054596E+02,5.000000 ,554.211677,,,,
0.98918832,1.0662347E+02,5.000000 ,554.061662,,,,
0.98937729,1.0341552E+02,5.000000 ,553.91165,,,,
0.98956089,1.0050519E+02,5.000000 ,553.761637,,,,
0.98974019,9.9164277E+01,5.000000 ,553.611629,,,,
0.98991884,9.9322689E+01,5.000000 ,553.461625,,,,
0.99009825,1.0020522E+02,5.000000 ,553.311622,,,,
0.99027919,1.0094166E+02,5.000000 ,553.151619,,,,
0.99046231,1.0245601E+02,5.000000 ,553.011618,,,,
0.99064808,1.0382181E+02,5.000000 ,552.851617,,,,
0.99083568,1.0471647E+02,5.000000 ,552.701614,,,,
0.99102452,1.0507506E+02,5.000000 ,552.551611,,,,
0.99121313,1.0445792E+02,5.000000 ,552.401604,,,,
0.99139977,1.0253668E+02,5.000000 ,552.261595,,,,
0.99158179,9.9585492E+01,5.000000 ,552.111583,,,,
0.99175841,9.6371339E+01,5.000000 ,551.96157,,,,
0.991929,9.3337747E+01,5.000000 ,551.811558,,,,
0.99209445,9.0609851E+01,5.000000 ,551.661547,,,,
0.99225576,8.8619829E+01,5.000000 ,551.511537,,,,
0.99241436,8.7868080E+01,5.000000 ,551.361531,,,,
0.99257254,8.7937675E+01,5.000000 ,551.211526,,,,
0.99273145,8.8677007E+01,5.000000 ,551.061524,,,,
0.99289221,8.9866273E+01,5.000000 ,550.911522,,,,
0.99305483,9.0709446E+01,5.000000 ,550.76152,,,,
0.99321836,9.1090671E+01,5.000000 ,550.611516,,,,
0.99338223,9.0807832E+01,5.000000 ,550.461511,,,,
0.99354425,8.9172589E+01,5.000000 ,550.311502,,,,
0.99370285,8.6819913E+01,5.000000 ,550.161492,,,,
0.9938567,8.4142148E+01,5.000000 ,550.011481,,,,
0.99400502,8.0513852E+01,5.000000 ,549.861467,,,,
0.99414579,7.5758840E+01,5.000000 ,549.711451,,,,
0.99427809,7.1679623E+01,5.000000 ,549.561436,,,,
0.99440392,6.7857356E+01,5.000000 ,549.411423,,,,
0.99452276,6.4297780E+01,5.000000 ,549.261409,,,,
0.99463587,6.1558143E+01,5.000000 ,549.111398,,,,
0.99474568,6.0722626E+01,5.000000 ,548.961392,,,,
0.99485464,6.0184016E+01,5.000000 ,548.811386,,,,
0.99496243,5.9568965E+01,5.000000 ,548.66138,,,,
0.99506897,5.8901036E+01,5.000000 ,548.511374,,,,
0.99517464,5.8356930E+01,5.000000 ,548.361368,,,,
0.99527883,5.7471139E+01,5.000000 ,548.211362,,,,
0.995382,5.7194167E+01,5.000000 ,548.061356,,,,
0.99548496,5.7126161E+01,5.000000 ,547.911352,,,,
0.99558745,5.6868208E+01,5.000000 ,547.761347,,,,
0.9956904,5.7282723E+01,5.000000 ,547.611344,,,,
0.9957929,5.6722696E+01,5.000000 ,547.461338,,,,
0.99589457,5.6234381E+01,5.000000 ,547.311333,,,,
0.99599552,5.5931547E+01,5.000000 ,547.161327,,,,
0.99609703,5.6966590E+01,5.000000 ,547.011326,,,,
0.99620075,5.7952849E+01,5.000000 ,546.851324,,,,
0.99630528,5.8219236E+01,5.000000 ,546.71132,,,,
0.99641062,5.8858100E+01,5.000000 ,546.551317,,,,
0.99651688,5.9102085E+01,5.000000 ,546.401314,,,,
0.99662307,5.8597361E+01,5.000000 ,546.251308,,,,
0.99672766,5.7400770E+01,5.000000 ,546.111301,,,,
0.99683034,5.6666835E+01,5.000000 ,545.961295,,,,
0.99693173,5.5970861E+01,5.000000 ,545.811289,,,,
0.99703157,5.4365374E+01,5.000000 ,545.661281,,,,
0.99712724,5.1810122E+01,5.000000 ,545.511271,,,,
0.99721838,4.9492395E+01,5.000000 ,545.361261,,,,
0.99730519,4.6708048E+01,5.000000 ,545.21125,,,,
0.99738591,4.2785514E+01,5.000000 ,545.061236,,,,
0.99745856,3.7900069E+01,5.000000 ,544.91122,,,,
0.99752393,3.4955774E+01,5.000000 ,544.761208,,,,
0.99758483,3.3054255E+01,5.000000 ,544.6112,,,,
0.9976425,3.1001495E+01,5.000000 ,544.46119,,,,
0.99769698,2.9614412E+01,5.000000 ,544.311183,,,,
0.99774922,2.8417315E+01,5.000000 ,544.161176,,,,
0.99779884,2.6693800E+01,5.000000 ,544.011167,,,,
0.99784589,2.5569732E+01,5.000000 ,543.861161,,,,
0.99789059,2.4105067E+01,5.000000 ,543.711153,,,,
0.99793322,2.3495798E+01,5.000000 ,543.561147,,,,
0.99797553,2.3779864E+01,5.000000 ,543.411144,,,,
0.99801928,2.4997112E+01,5.000000 ,543.261143,,,,
0.9980656,2.6467152E+01,5.000000 ,543.111142,,,,
0.99811513,2.8722594E+01,5.000000 ,542.961144,,,,
0.99816976,3.1831722E+01,5.000000 ,542.811148,,,,
0.99822994,3.5023801E+01,5.000000 ,542.661151,,,,
0.9982964,3.9001880E+01,5.000000 ,542.501157,,,,
0.99837057,4.3601789E+01,5.000000 ,542.351164,,,,
0.99845293,4.7633436E+01,5.000000 ,542.20117,,,,
